,Clasificador,Descriptor,Precisión,Cobertura,F1
0,SVM,color,0.8699999999999999,0.7999999999999999,0.8335329341317363
1,SVM,textura,0.45,0.5333333333333333,0.48813559322033895
2,SVM,forma,0.8333333333333333,0.7333333333333333,0.7801418439716312
3,RF,color,0.7833333333333333,0.8,0.791578947368421
4,RF,textura,0.47333333333333333,0.4666666666666666,0.4699763593380614
5,RF,forma,0.65,0.6666666666666666,0.6582278481012659
6,MLP,color,0.8133333333333332,0.7333333333333333,0.771264367816092
7,MLP,textura,0.41666666666666663,0.4666666666666666,0.440251572327044
8,MLP,forma,0.6,0.5999999999999999,0.6
